"CP_X.x","CP_Station.Name.x","CP_Org.Name.x","CP_Address.1.x","CP_City.x","CP_State.x","CP_Postal.Code","CP_County","CP_Country","CP_No..of.Ports.x","CP_Station.Activation.Type.x","CP_Customer.Category.x","CP_addresses","CP_lon.x","CP_lat.x","CP_X.y","CP_Station.Name.y","CP_Org.Name.y","CP_Address.1.y","CP_City.y","CP_State.y","CP_No..of.Ports.y","CP_Station.Activation.Type.y","CP_Customer.Category.y","CP_lon.y","CP_lat.y","commonaddress","EV_X","EV_Station.ID","EV_Station.name","EV_Location","EV_Island","EV_Address","EV_City","EV_State","EV_Zip.Code","EV_Latitude","EV_Longitude","EV_Contact.Name","EV_Charge.Fee","EV_Park.Fee","EV_Parking.Lot","EV_Hours","EV_Ports","EV_Restrictions","EV_Number.of.Stations","EV_Charge.Fees","EV_Manufacturers","EV_Charging.Levels","EV_Date.Initially.Added","EV_NewLat","EV_NewLong"
8,"VA MEDICAL CNTR / HONOLULU VA 1","Spark M. Matsunaga VA Medical Center","459 Patterson Rd","Honolulu","Hawaii",96819,"Honolulu County","United States",2,"Public","Healthcare","459 Patterson Rd,Honolulu,Hawaii",NA,NA,7,"VA MEDICAL CNTR / HONOLULU VA 2","Spark M. Matsunaga VA Medical Center","459 Patterson Rd","Honolulu","Hawaii",2,"Public","Healthcare",-157.8894405,21.3612248,"459PATTERSONROAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"VA MEDICAL CNTR / HONOLULU VA 1","Spark M. Matsunaga VA Medical Center","459 Patterson Rd","Honolulu","Hawaii",96819,"Honolulu County","United States",2,"Public","Healthcare","459 Patterson Rd,Honolulu,Hawaii",NA,NA,8,"VA MEDICAL CNTR / HONOLULU VA 1","Spark M. Matsunaga VA Medical Center","459 Patterson Rd","Honolulu","Hawaii",2,"Public","Healthcare",-157.8894405,21.3612248,"459PATTERSONROAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"THE COLLECTION / STATION 2","The Collection at 600 Ala Moana","600 Ala Moana Blvd","Honolulu","Hawaii",96813,"Honolulu County","United States",1,"Public","Multifamily Commercial","600 Ala Moana Blvd,Honolulu,Hawaii",NA,NA,13,"THE COLLECTION / STATION 2","The Collection at 600 Ala Moana","600 Ala Moana Blvd","Honolulu","Hawaii",1,"Public","Multifamily Commercial",-157.8616633,21.2990126,"600ALAMOANABOULEVARD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"THE COLLECTION / STATION 2","The Collection at 600 Ala Moana","600 Ala Moana Blvd","Honolulu","Hawaii",96813,"Honolulu County","United States",1,"Public","Multifamily Commercial","600 Ala Moana Blvd,Honolulu,Hawaii",NA,NA,14,"THE COLLECTION / STATION 1","The Collection at 600 Ala Moana","600 Ala Moana Blvd","Honolulu","Hawaii",1,"Public","Multifamily Commercial",-157.8616633,21.2990126,"600ALAMOANABOULEVARD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"THE COLLECTION / STATION 1","The Collection at 600 Ala Moana","600 Ala Moana Blvd","Honolulu","Hawaii",96813,"Honolulu County","United States",1,"Public","Multifamily Commercial","600 Ala Moana Blvd,Honolulu,Hawaii",NA,NA,13,"THE COLLECTION / STATION 2","The Collection at 600 Ala Moana","600 Ala Moana Blvd","Honolulu","Hawaii",1,"Public","Multifamily Commercial",-157.8616633,21.2990126,"600ALAMOANABOULEVARD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"THE COLLECTION / STATION 1","The Collection at 600 Ala Moana","600 Ala Moana Blvd","Honolulu","Hawaii",96813,"Honolulu County","United States",1,"Public","Multifamily Commercial","600 Ala Moana Blvd,Honolulu,Hawaii",NA,NA,14,"THE COLLECTION / STATION 1","The Collection at 600 Ala Moana","600 Ala Moana Blvd","Honolulu","Hawaii",1,"Public","Multifamily Commercial",-157.8616633,21.2990126,"600ALAMOANABOULEVARD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"TARGET CORP / KONA T2412 2","Target Corporation","74-5453 Makala Blvd","Kailua-Kona","Hawaii",96740,"Hawaii County","United States",2,"Public","Retail","74-5453 Makala Blvd,Kailua-Kona,Hawaii",NA,NA,15,"TARGET CORP / KONA T2412 2","Target Corporation","74-5453 Makala Blvd","Kailua-Kona","Hawaii",2,"Public","Retail",-156.0039903,19.6490591,"745453MAKALABOULEVARD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"TARGET CORP / KAPOLEI T2411 2","Target Corporation","4450 Kapolei Pkwy","Kapolei","Hawaii",96707,"Honolulu County","United States",2,"Public","Retail","4450 Kapolei Pkwy,Kapolei,Hawaii",NA,NA,17,"TARGET CORP / KAPOLEI T2411 2","Target Corporation","4450 Kapolei Pkwy","Kapolei","Hawaii",2,"Public","Retail",-158.0900895,21.3303488,"4450KAPOLEIPARKWAY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"TARGET CORP / KAPOLEI T2411 2","Target Corporation","4450 Kapolei Pkwy","Kapolei","Hawaii",96707,"Honolulu County","United States",2,"Public","Retail","4450 Kapolei Pkwy,Kapolei,Hawaii",NA,NA,18,"TARGET CORP / KAPOLEI T2411","Target Corporation","4450 Kapolei Pkwy","Kapolei","Hawaii",2,"Public","Retail",-158.0900895,21.3303488,"4450KAPOLEIPARKWAY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"TARGET CORP / KAPOLEI T2411","Target Corporation","4450 Kapolei Pkwy","Kapolei","Hawaii",96707,"Honolulu County","United States",2,"Public","Retail","4450 Kapolei Pkwy,Kapolei,Hawaii",NA,NA,17,"TARGET CORP / KAPOLEI T2411 2","Target Corporation","4450 Kapolei Pkwy","Kapolei","Hawaii",2,"Public","Retail",-158.0900895,21.3303488,"4450KAPOLEIPARKWAY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"TARGET CORP / KAPOLEI T2411","Target Corporation","4450 Kapolei Pkwy","Kapolei","Hawaii",96707,"Honolulu County","United States",2,"Public","Retail","4450 Kapolei Pkwy,Kapolei,Hawaii",NA,NA,18,"TARGET CORP / KAPOLEI T2411","Target Corporation","4450 Kapolei Pkwy","Kapolei","Hawaii",2,"Public","Retail",-158.0900895,21.3303488,"4450KAPOLEIPARKWAY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"TARGET CORP / HONOLULUT3978 2","Target Corporation","4332 Lawehana St","Honolulu","Hawaii",96818,"Honolulu County","United States",2,"Public","Retail","4332 Lawehana St,Honolulu,Hawaii",NA,NA,23,"TARGET CORP / HONOLULUT3978 2","Target Corporation","4332 Lawehana St","Honolulu","Hawaii",2,"Public","Retail",-157.9286119,21.355612,"4332LAWEHANASTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"STATION 2 / WAIHONUA 5","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Workplace","1189 Waimanu St,Honolulu,Hawaii",NA,NA,27,"STATION 2 / WAIHONUA 5","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",1,"Public","Workplace",-157.8483681,21.2935203,"1189WAIMANUSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"STATION 2 / WAIHONUA 5","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Workplace","1189 Waimanu St,Honolulu,Hawaii",NA,NA,28,"STATION 2 / WAIHONUA 4","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",1,"Public","Workplace",-157.8483681,21.2935203,"1189WAIMANUSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"STATION 2 / WAIHONUA 5","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Workplace","1189 Waimanu St,Honolulu,Hawaii",NA,NA,29,"STATION 2 / WAIHONUA 3","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",1,"Public","Workplace",-157.8483681,21.2935203,"1189WAIMANUSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"STATION 2 / WAIHONUA 5","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Workplace","1189 Waimanu St,Honolulu,Hawaii",NA,NA,30,"STATION 2 / WAIHONUA 2","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",1,"Public","Workplace",-157.8483681,21.2935203,"1189WAIMANUSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"STATION 2 / WAIHONUA 4","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Workplace","1189 Waimanu St,Honolulu,Hawaii",NA,NA,27,"STATION 2 / WAIHONUA 5","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",1,"Public","Workplace",-157.8483681,21.2935203,"1189WAIMANUSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"STATION 2 / WAIHONUA 4","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Workplace","1189 Waimanu St,Honolulu,Hawaii",NA,NA,28,"STATION 2 / WAIHONUA 4","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",1,"Public","Workplace",-157.8483681,21.2935203,"1189WAIMANUSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"STATION 2 / WAIHONUA 4","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Workplace","1189 Waimanu St,Honolulu,Hawaii",NA,NA,29,"STATION 2 / WAIHONUA 3","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",1,"Public","Workplace",-157.8483681,21.2935203,"1189WAIMANUSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"STATION 2 / WAIHONUA 4","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Workplace","1189 Waimanu St,Honolulu,Hawaii",NA,NA,30,"STATION 2 / WAIHONUA 2","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",1,"Public","Workplace",-157.8483681,21.2935203,"1189WAIMANUSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"STATION 2 / WAIHONUA 3","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Workplace","1189 Waimanu St,Honolulu,Hawaii",NA,NA,27,"STATION 2 / WAIHONUA 5","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",1,"Public","Workplace",-157.8483681,21.2935203,"1189WAIMANUSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"STATION 2 / WAIHONUA 3","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Workplace","1189 Waimanu St,Honolulu,Hawaii",NA,NA,28,"STATION 2 / WAIHONUA 4","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",1,"Public","Workplace",-157.8483681,21.2935203,"1189WAIMANUSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"STATION 2 / WAIHONUA 3","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Workplace","1189 Waimanu St,Honolulu,Hawaii",NA,NA,29,"STATION 2 / WAIHONUA 3","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",1,"Public","Workplace",-157.8483681,21.2935203,"1189WAIMANUSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"STATION 2 / WAIHONUA 3","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Workplace","1189 Waimanu St,Honolulu,Hawaii",NA,NA,30,"STATION 2 / WAIHONUA 2","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",1,"Public","Workplace",-157.8483681,21.2935203,"1189WAIMANUSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"STATION 2 / WAIHONUA 2","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Workplace","1189 Waimanu St,Honolulu,Hawaii",NA,NA,27,"STATION 2 / WAIHONUA 5","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",1,"Public","Workplace",-157.8483681,21.2935203,"1189WAIMANUSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"STATION 2 / WAIHONUA 2","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Workplace","1189 Waimanu St,Honolulu,Hawaii",NA,NA,28,"STATION 2 / WAIHONUA 4","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",1,"Public","Workplace",-157.8483681,21.2935203,"1189WAIMANUSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"STATION 2 / WAIHONUA 2","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Workplace","1189 Waimanu St,Honolulu,Hawaii",NA,NA,29,"STATION 2 / WAIHONUA 3","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",1,"Public","Workplace",-157.8483681,21.2935203,"1189WAIMANUSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"STATION 2 / WAIHONUA 2","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",96814,"Honolulu County","United States",1,"Public","Workplace","1189 Waimanu St,Honolulu,Hawaii",NA,NA,30,"STATION 2 / WAIHONUA 2","Waihonua at Kewalo","1189 Waimanu St","Honolulu","Hawaii",1,"Public","Workplace",-157.8483681,21.2935203,"1189WAIMANUSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"STATION / KUNIA 1","CBI Inc. Hawaii","93-339 HI-750","Waipahu","Hawaii",96797,"Honolulu County","United States",2,"Public","Retail","93-339 HI-750,Waipahu,Hawaii",NA,NA,31,"STATION / KUNIA 1","CBI Inc. Hawaii","93-339 HI-750","Waipahu","Hawaii",2,"Public","Retail",-158.0353985,21.3906444,"93339HI750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"STATION / KAIMUKI 1","CBI Inc. Hawaii","1119-1123 4th Ave","Honolulu","Hawaii",96816,"Honolulu County","United States",2,"Public","Retail","1119-1123 4th Ave,Honolulu,Hawaii",NA,NA,32,"STATION / KAIMUKI 1","CBI Inc. Hawaii","1119-1123 4th Ave","Honolulu","Hawaii",2,"Public","Retail",-157.8084597,21.2867302,"111911234THAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"RESIDENTS ONLY / ROYAL IOLANI","Royal Iolani","581 Kamoku St","Honolulu","Hawaii",96826,"Honolulu County","United States",2,"Public","Multifamily Commercial","581 Kamoku St,Honolulu,Hawaii",NA,NA,34,"RESIDENTS ONLY / ROYAL IOLANI","Royal Iolani","581 Kamoku St","Honolulu","Hawaii",2,"Public","Multifamily Commercial",-157.8241212,21.2863751,"581KAMOKUSTREET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"RCRWB / EV STATION 02","The Ritz-Carlton Residences Waikiki Beach","2139 Kuhio Ave","Honolulu","Hawaii",96815,"Honolulu County","United States",2,"Public","Parking","2139 Kuhio Ave,Honolulu,Hawaii",NA,NA,35,"RCRWB / EV STATION 02","The Ritz-Carlton Residences Waikiki Beach","2139 Kuhio Ave","Honolulu","Hawaii",2,"Public","Parking",-157.8293546,21.2822489,"2139KUHIOAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"RCRWB / EV STATION 02","The Ritz-Carlton Residences Waikiki Beach","2139 Kuhio Ave","Honolulu","Hawaii",96815,"Honolulu County","United States",2,"Public","Parking","2139 Kuhio Ave,Honolulu,Hawaii",NA,NA,36,"RCRWB / EV STATION 01","The Ritz-Carlton Residences Waikiki Beach","2139 Kuhio Ave","Honolulu","Hawaii",2,"Public","Parking",-157.8293546,21.2822489,"2139KUHIOAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"RCRWB / EV STATION 01","The Ritz-Carlton Residences Waikiki Beach","2139 Kuhio Ave","Honolulu","Hawaii",96815,NA,"United States",2,"Public","Parking","2139 Kuhio Ave,Honolulu,Hawaii",NA,NA,35,"RCRWB / EV STATION 02","The Ritz-Carlton Residences Waikiki Beach","2139 Kuhio Ave","Honolulu","Hawaii",2,"Public","Parking",-157.8293546,21.2822489,"2139KUHIOAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"RCRWB / EV STATION 01","The Ritz-Carlton Residences Waikiki Beach","2139 Kuhio Ave","Honolulu","Hawaii",96815,NA,"United States",2,"Public","Parking","2139 Kuhio Ave,Honolulu,Hawaii",NA,NA,36,"RCRWB / EV STATION 01","The Ritz-Carlton Residences Waikiki Beach","2139 Kuhio Ave","Honolulu","Hawaii",2,"Public","Parking",-157.8293546,21.2822489,"2139KUHIOAVENUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
