,Cmn_Address,CH_Unnamed: 0,CH_Station Name,CH_Org Name,CH_Address 1,CH_City,CH_State,CH_Postal Code,CH_County,CH_Country,CH_No. of Ports,CH_Station Activation Type,CH_Customer Category
26,2776KAUHALESTREET,61,KS OFFICE EV / KS OFFICE EV,Kihei Shores Condominiums,2776 Kauhale St,Kihei,Hawaii,96753,Maui County,United States,2,Public,Multifamily Commercial
27,301347PIIKOISTREET,41,PARKLANE / STATION 4,Parklane Ala Moana,301-347 Piikoi St,Honolulu,Hawaii,96814,Honolulu County,United States,2,Public,Multifamily Commercial
28,3375KOAPAKASTREET,140,AIPA PROPERTIES / 6TH LEVEL EWA,AIPA Properties,3375 Koapaka St,Honolulu,Hawaii,96819,Honolulu County,United States,2,Public,Workplace
29,345HAHANISTREET,19,TARGET CORP / KAILUA T2697 2,Target Corporation,345 Hahani St,Kailua,Hawaii,96734,Honolulu County,United States,2,Public,Retail
30,349365PIIKOISTREET,40,PARKLANE / STATION 5,Parklane Ala Moana,349-365 Piikoi St,Honolulu,Hawaii,96814,Honolulu County,United States,2,Public,Multifamily Commercial
31,3550WAILEAALANUIDRIVE,94,GARAGE1 / HYATT 3,Hyatt Andaz Maui,3550 Wailea Alanui Dr,Wailea-Makena,Hawaii,96753,Maui County,United States,2,Public,Hospitality
32,35RUSSELLAVENUE,50,NAVFAC / JBPHH #5,NAVFAC,35 Russell Ave,JBPHH,Hawaii,96818,Honolulu County,United States,2,Public,"Government (Fed, State)"
33,388KELESTREET,110,BMW OF HAWAII / MAUI STATION 01,BMW of Hawaii,388 Kele St,Wailuku,Hawaii,96793,Maui County,United States,1,Public,Retail
34,391MAKAALASTREET,25,TARGET CORP / HILO T2682 2,Target Corporation,391 Makaala St,Hilo,Hawaii,96720,Hawaii County,United States,2,Public,Retail
35,3970KAANASTREET,147,5TH CIRCUIT CRT / EV CHARGER 1,5th Circuit Court,3970 Kaana St,L?hu?e,Hawaii,96766,Kauai County,United States,1,Public,Workplace
36,4332LAWEHANASTREET,23,TARGET CORP / HONOLULUT3978 2,Target Corporation,4332 Lawehana St,Honolulu,Hawaii,96818,Honolulu County,United States,2,Public,Retail
37,4380LAWEHANASTREET,24,TARGET CORP / HONOLULU T3978,Target Corporation,4380 Lawehana St,Honolulu,Hawaii,96818,Honolulu County,United States,2,Public,Retail
38,4450KAPOLEIPARKWAY,17,TARGET CORP / KAPOLEI T2411 2,Target Corporation,4450 Kapolei Pkwy,Kapolei,Hawaii,96707,Honolulu County,United States,2,Public,Retail
39,459PATTERSONROAD,6,VA MEDICAL CNTR / HONOLULU VA 3,Spark M. Matsunaga VA Medical Center,459 Patterson Rd,Honolulu,Hawaii,96819,Honolulu County,United States,2,Public,Healthcare
40,46001KAMEHAMEHAHIGHWAY,99,CASTLE PROF CTR / CPC,Adventist Health Castle,46-001 Kamehameha Hwy,Kaneohe,Hawaii,96744,Honolulu County,United States,2,Public,Healthcare
41,4850MAKENAALANUISTREET,113,B BUILDING EV / A BUILDING LOT,Makena Surf,4850 Makena Alanui St,Kihei,Hawaii,96753,Maui County,United States,2,Public,Multifamily Commercial
42,55370KAMEHAMEHAHIGHWAY,38,PCC / SOUTH,Polynesian Cultural Center,55-370 Kamehameha Hwy,Laie,Hawaii,96762,Honolulu County,United States,2,Public,Retail
43,570HALEKAUWILASTREET,66,KEAUHOUPLACE / 7TH FLOOR,AOUO of Keauhou Place,570 Halekauwila St,Honolulu,Hawaii,96813,Honolulu County,United States,2,Public,Multifamily Commercial
44,575COOKESTREET,37,POHAI NANI / STATION 01,Good Samaritan Society - Pohai Nani,575 Cooke St,Honolulu,Hawaii,96813,,United States,2,Public,Multifamily Commercial
45,581KAMOKUSTREET,34,RESIDENTS ONLY / ROYAL IOLANI,Royal Iolani,581 Kamoku St,Honolulu,Hawaii,96826,Honolulu County,United States,2,Public,Multifamily Commercial
46,598HALEKAUWILASTREET,70,KEAUHOUPLACE / 2ND KEAUHOU L,AOUO of Keauhou Place,598 Halekauwila St,Honolulu,Hawaii,96813,Honolulu County,United States,1,Public,Multifamily Commercial
47,600ALAMOANABOULEVARD,13,THE COLLECTION / STATION 2,The Collection at 600 Ala Moana,600 Ala Moana Blvd,Honolulu,Hawaii,96813,Honolulu County,United States,1,Public,Multifamily Commercial
48,601617HALEKAUWILASTREET,69,KEAUHOUPLACE / 4TH FLOOR,AOUO of Keauhou Place,601-617 Halekauwila St,Honolulu,Hawaii,96813,Honolulu County,United States,2,Public,Multifamily Commercial
49,617OHEKANISTREET,139,AKAKU / STATION 1,Akaku Holdings LLC,617 Ohekani St,Kahului,Hawaii,96732,Maui County,United States,2,Public,Retail
50,619629HALEKAUWILASTREET,67,KEAUHOUPLACE / 6TH FLOOR,AOUO of Keauhou Place,619-629 Halekauwila St,Honolulu,Hawaii,96813,Honolulu County,United States,2,Public,Multifamily Commercial
51,650SOUTHKINGSTREET,103,C&C HONOLULU / MOTOR POOL,City & County of Honolulu,650 S King St,Honolulu,Hawaii,96813,Honolulu County,United States,1,Public,Municipal
52,651ILALOSTREET,98,EV STATION 1 / EV STATION 1,UH JABSOM,651 ILALO STREET,Honolulu,Hawaii,96813,Honolulu County,United States,2,Public,Education
53,7000HAWAIIKAIDRIVE,145,7000 HAWAII KAI / 7000HK STATION3,7000 Hawaii Kai Drive,7000 Hawaii Kai Dr,Honolulu,Hawaii,96825,,United States,1,Public,Multifamily Commercial
54,73200KUPIPISTREET,33,SP PLUS / STATION 1,SP Plus Kona International Airport,73-200 Kupipi St,Kailua-Kona,Hawaii,96740,Hawaii County,United States,2,Public,Parking
55,745453MAKALABOULEVARD,15,TARGET CORP / KONA T2412 2,Target Corporation,74-5453 Makala Blvd,Kailua-Kona,Hawaii,96740,Hawaii County,United States,2,Public,Retail
56,745455MAKALABOULEVARD,16,TARGET CORP / KONA T2412,Target Corporation,74-5455 Makala Blvd,Kailua-Kona,Hawaii,96740,Hawaii County,United States,2,Public,Retail
57,745533LOLOKUSTREET,111,BMW OF HAWAII / KONA 01,BMW of Hawaii,74-5533 Loloku St,Kailua-Kona,Hawaii,96740,Hawaii County,United States,1,Public,Retail
58,761WAKEASTREET,72,KAPOLEILOFTS / BLOCK1B,Kapolei Lofts,761 Wakea St,Kapolei,Hawaii,96707,Honolulu County,United States,2,Public,Multifamily Commercial
59,768SOUTHSTREET,62,KP ANNEX / KP ANNEX,Kamehameha Schools,768 South St,Honolulu,Hawaii,96813,Honolulu County,United States,2,Public,Workplace
60,777WARDAVENUE,102,C&C HONOLULU / NBC,City & County of Honolulu,777 Ward Ave,Honolulu,Hawaii,96814,Honolulu County,United States,1,Public,Workplace
61,801SOUTHSTREET,143,801 PHASE 1 / BUILDING B,801 South Street HI,801 south st,Honolulu,Hawaii,96813,Honolulu County,United States,1,Public,Workplace
62,803AHUASTREET,141,AEI DEMO GROUP / AEI-DDU-01,Alternate Energy Hawaii DEMO Org,803 Ahua St,Honolulu,Hawaii,96819,Honolulu County,United States,2,Public,Workplace
63,825KAPIOLANIBOULEVARD,112,BMW OF HAWAII / HONOLULU 01,BMW of Hawaii,825 Kapiolani Blvd,Honolulu,Hawaii,96813,Honolulu County,United States,2,Public,Retail
64,888SOUTHKINGSTREET,46,PARKING GARAGE / SMC 1,HPH Straub Medical Center,888 S King St,Honolulu,Hawaii,96813,Honolulu County,United States,2,Public,Healthcare
65,91971FARRINGTONHIGHWAY,87,HTIC KAPOLEI / STATION 2,Hawaii Tokai International College,91-971 Farrington Hwy,Kapolei,Hawaii,96707,Honolulu County,United States,2,Public,Education
66,921185ALIINUIDRIVE,114,AULANI: DISNEY / P2 SPACE 218,Disney-Aulani,92-1185 Aliinui Drive,Kapolei,Hawaii,96707,Honolulu County,United States,1,Public,Hospitality
67,92149WAIPAHEPLACE,63,KO'OLINA BC / NAIA,Marriott Ko,92-149 Waipahe Pl,Kapolei,Hawaii,96707,Honolulu County,United States,2,Public,Hospitality
68,92159WAIPAHEPLACE,64,KO'OLINA BC / MOANA,Marriott Ko,92-159 Waipahe Pl,Kapolei,Hawaii,96707,Honolulu County,United States,2,Public,Hospitality
69,92185ALIINUIDRIVE,117,AULANI: DISNEY / P2 SPACE 196,Disney-Aulani,92-185 Aliinui Drive,Kapolei,Hawaii,96707,Honolulu County,United States,1,Public,Hospitality
70,925BETHELSTREET,3,WWW.HIEV.US / HIEV  DEMO  001,HIEV DEMO UNITS,925 Bethel St,Honolulu,Hawaii,96813,Honolulu County,United States,1,Public,Demo Unit
71,93339HI750,31,STATION / KUNIA 1,CBI Inc. Hawaii,93-339 HI-750,Waipahu,Hawaii,96797,Honolulu County,United States,2,Public,Retail
72,93KANEOHEBAYDRIVE,81,KAILUA WWTP / KAILUA WWTP,City & County of Honolulu Water Authority,93 Kaneohe Bay Dr,Kailua,Hawaii,96734,Honolulu County,United States,2,Public,"Government (Fed, State)"
73,94815LUMIAINASTREET,5,WAIKELE CENTER / WAIKELE CENTER,American Assets Trust - Waikele Center,94-815 Lumiaina St,Waipahu,Hawaii,96797,Honolulu County,United States,2,Public,Retail
74,981079MOANALUAROAD,47,PALI MOMI / PMMC STATION #2,HPH Pali Momi Medical Center,98-1079 Moanalua Rd,Aiea,Hawaii,96701,Honolulu County,United States,2,Public,Healthcare
75,99688KAULAINAHEEPLACE,91,HIWIND POWER / CHARGEPOINT 111,High Wind Power,99-688 Kaulainahee Pl,Aiea,Hawaii,96701,Honolulu County,United States,1,Public,Workplace
76,99999IWAENASTREET,104,C&C HONOLULU / MAINT 1,City & County of Honolulu,99-999 Iwaena St,Aiea,Hawaii,96701,Honolulu County,United States,1,Public,Municipal
77,999BISHOPSTREET,97,FHC / PV 1 & 2,First Hawaiian Bank,999 Bishop St,Honolulu,Hawaii,96813,Honolulu County,United States,2,Public,Workplace
78,BLDG166SOUTHAVENUE,55,NAVFAC / BLDG 166 INDOOR,NAVFAC,Bldg 166 South Ave,Pearl Harbor,Hawaii,96860,Honolulu County,United States,1,Public,"Government (Fed, State)"
79,KAPOLEIPARKWAY,73,KAPOLEILOFTS / BLOCK 4B,Kapolei Lofts,Kapolei Pkwy,Kapolei,Hawaii,96707,,United States,2,Public,Multifamily Commercial
80,PIIKEAPLACE,90,HIWIND POWER / HWP001,High Wind Power,Piikea Pl,Makawao,Hawaii,96768,Maui County,United States,1,Public,Workplace
81,WAHINEPIOAVENUE,9,UH MAUI COLLEGE / KAAIKE 4,UH Maui College,Wahinepio Ave,Kahului,Hawaii,96732,Maui County,United States,2,Public,Education
82,WESTKAMEHAMEHAAVENUE,57,MAUI ELECTRIC / MECO 002,MECO,W Kamehameha Ave,Kahului,Hawaii,96732,Maui County,United States,2,Public,Workplace
