,Cmn_Address,EV_Unnamed: 0,EV_Station ID,EV_Station name,EV_Location,EV_Island,EV_Address,EV_City,EV_State,EV_Zip Code,EV_Latitude,EV_Longitude,EV_Contact Name,EV_Charge Fee,EV_Park Fee,EV_Parking Lot,EV_Hours,EV_Ports,EV_Restrictions,EV_Number of Stations,EV_Charge Fees,EV_Manufacturers,EV_Charging Levels,EV_Date Initially Added
12,1131KUALASTREET,193,753,Walmart #5274 - Pearl City,Parking lot,Oahu,1131 Kuala Street,Pearl City,HI,96782,21°23′49″.812 N,157°58′28″.200 S,,"Blink Plus: $0.69 per kwh, Blink Guest: $0.79 per kwh",,,24/7,1,,1,Paid,Blink,2,08 April 2016
13,1132BISHOPSTREET,178,723,Bishop Place,Bishop Place,Oahu,1132 Bishop Street,Honolulu,HI,96814,21°18′36″.180 N,157°51′37″.368 S,,$2-$4 an hr,,,24/7,1,EV charger operational even when parking garage is closed,1,Paid,SemaConnect,2,27 October 2015
14,1159NUUANUAVENUE,63,419,Mark’s Garage,The charging station is located on the 3rd floor of parking garage,Oahu,1159 Nuuanu Ave,Honolulu,HI,96813,21°18′41″.040 N,157°51′39″.708 S,Ron Distilli,$2/hour or any fraction thereof,$10.00 Flat rate,Mark’s Garage,"Mon 5:45am-10:00pm, Tue 10:45am-12:00am, Wed-Fri 5:45am-2:00am, Sat 7:00am-2:00am",2,"The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.",1,Paid,OpConnect,2,27 December 2012
15,1170AUAHISTREET,202,775,Ward Village,Parking,Oahu,1170 Auahi Street,Honolulu,HI,96814,21°17′36″.240 N,157°51′04″.284 S,,Free,may apply,,Parking lot hours,2,,1,Free,Volta,2,29 April 2016
16,1170NUUANU,94,489,Smith-Beretania Parking Structure,Entrance on Beretania Street between Nuuanu Avenue and Smith Street.  Follow blue signs to Charger.,Oahu,1170 Nuuanu,Honolulu,HI,96817,21°18′43″.037 N,157°51′38″.251 S,Allyn Lee,Free,Free for EV Drivers,Smith-Beretania Parking Structure,6:00am-12:00am,1,Free parking for EV Drivers.  Activate Charger with ChargePoint Network card or call the number listed on the front of the Charger for access.,1,Free,ChargePoint,2,27 December 2012
17,1200ALAMOANABOULEVARD,125,597,Ward Center - OUT OF SERVICE,"The charging station is located between Kua'aina and Bed, Bath and Bed Bath and Beyond on the first floor across from the valet stand.",Oahu,1200 Ala Moana Blvd,Honolulu,HI,96814,21°17′33″.792 N,157°51′08″.820 S,"Arden Penton Director, Media and Operations",Free,,,24/7,1,,1,Free,Volta,2,21 November 2013
18,1200KILAUEAAVENUE,205,781,Hawaii Electric Light Hilo Office,Turn left after entering parking lot,Hawaii,1200 Kilauea Ave,Hilo,HI,96720,19°42′39″.636 N,155°04′37″.416 S,,"Mid day (9am-5pm) = $0.51/kWh, On-Peak (5pm-10pm) = $0.63/kWh, Off-Peak (10pm-9am) = $0.61/kWh",,,24/7,1,Payment option: Major Credit Cards or Greenlots Network,1,Paid,Greenlots,3,26 May 2016
19,120KAIULANIAVENUE,142,639,Sheraton Princess Kaiulani,United States,Oahu,120 Kaiulani Avenue,HONOLULU,HI,96815,21°16′39″.571 N,157°49′32″.126 S,Eric Au,$2.20/hour or any fraction thereof,,,24/7,2,"4 hour limit.  The OpConnect charging station accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.  Parking fees may apply",1,Paid,OpConnect,2,17 December 2014
20,1226COLLEGEWALK,83,467,USA Hawaii Federal Credit Union,The charging stations are located to the left after entering parking garage,Oahu,1226 College Walk,Honolulu,HI,96817,21°18′55″.954 N,157°51′43″.707 S,,$2/hour or any fraction thereof,,USA Hawaii Credit Union,"Mon-Fri 7:00am-7:00pm, Sat 7:00am-2:30pm",4,"The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.",2,Paid,OpConnect,2,27 December 2012
21,1288ALAMOANABOULEVARD,47,381,Hokua Condominium,The charging station is located on ground level of parking garage near loading dock,Oahu,1288 Ala Moana Blvd,Honolulu,HI,96814,21°17′32″.622 N,157°50′59″.845 S,"Duane Komine, superblock manager",$2/hour or any fraction thereof,,Hokua Condominium,6:00am-2:00am,6,"The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.",3,Paid,OpConnect,2,27 December 2012
22,1319PUNAHOUSTREET,119,581,Kapiolani Medical Center,the charging stations are located on the 2nd floor and 8th floor.  Stalls are marked.,Oahu,1319 Punahou Street,Honolulu,HI,96826,21°17′59″.712 N,157°50′04″.308 S,Adrien,$2/hour,Parking fees may apply,,24/7,8,,4,Paid,"ChargePoint, Pep Stations",2,08 August 2013
23,1333MAUILANIPARKWAY,239,859,Dunes at Maui Lani Golf Course,Charging stations are located left of the parking lot fronting the driving range,Maui,1333 Mauilani Pkwy,Kahului,HI,96732,20°52′00″.948 N,156°28′27″.480 S,,Fees vary depending on the type of membership,Free,,6:00AM - 9:00PM,2,"To use this charger, drivers need to be a member of  EVOhana. Visit http://evohana.com  or email info@jumpsmartmaui.com or call 808-270-6802",2,Paid,Hitachi,3,26 August 2016
24,1345PIILANIHIGHWAY,16,301,Maui Nui Golf Club,Visit the Pro Shop or restaurant & attendant will give you access to the charging station.,Maui,1345 Piilani Highway,Kihei,HI,96753,20°44′25″.494 N,156°26′34″.670 S,Michael Agdeppa or Mark Seki,$12 flat fee per session,Free,Elleair Golf Club,During Golfing hours: 6:30 am to 6:00 pm Mon-Sun and Restaurant hours:  8:00am to 10:00 pm. Closed after 10:00 pm.,1,This charging station is for golfers only,1,Paid,AeroVironment,2,27 December 2012
25,1380LUSITANASTREET,75,447,Queen’s Physician Office Building,"1 Charger at POB 1 lot on Lusitaina St. Main entry Makai side level 3, 2nd Charger at Miller St. garage across emergency room level B2 near cashiers booth",Oahu,1380 Lusitana street,Honolulu,HI,96813,21°18′30″.168 N,157°51′11″.304 S,contacted successfully in 01-13-2017,$2.00/hr,Patients $1/half hour max 5$. Visitors can get validation $5 flat rate.,Queen’s Physician Office Building,24/7,6,Valet must activate charging station.,3,Free,ChargePoint,2,27 December 2012
26,1401SOUTHBERETANIASTREET,225,823,Hale Pawaa,in the parking structure,Oahu,1401 S. Beretania St.,Honolulu,HI,96814,21°17′58″.704 N,157°50′21″.840 S,,Free,$5/hr ($2/hr with validation),,park hours,1,Charging is limited to 2 hours by request (via note on charger) from management.,1,Free,Eaton,2,02 August 2016
27,1425LILIHASTREET,130,607,Times Supermarket - Liliha Branch,The charging stations are located in the main parking lot- first two stalls on right hand of supermarket,Oahu,1425 Liliha St,Honolulu,HI,96817,21°19′11″.172 N,157°51′40″.464 S,Kimo,Free,Free,,7am-10pm,2,Restricted to shoppers and diners. 2 hour limit during shopping hours.,2,Free,Leviton,2,16 January 2014
28,1440KAPIOLANIBOULEVARD,152,659,Pacific Guardian Tower,Charger is located by the entry to the garage- by the parking booth,Oahu,1440 Kapiolani Blvd,Honolulu,HI,96814,21°17′36″.996 N,157°50′33″.432 S,Gary,Free,hourly charge,,7am-6pm,1,,1,Free,Eaton,2,31 March 2015
29,1450ALAMOANABOULEVARD,200,771,Ala Moana Center,in front of Genki Sushi. Take the Keeaumoku entrance up the ramp and turn right. Charging stations will be on the right.,Oahu,1450 Ala Moana Blvd,Honolulu,HI,96814,21°17′25″.656 N,157°50′37″.428 S,Chloe,Free,Free,,"Mall hours, 9:30am-9:30pm",4,,2,Free,Volta,2,21 April 2016
30,150KAIULANIAVENUE,68,431,Ohana Waikiki East,One charger is located on the first floor near entrance at 150 Kaiulani Ave.  A second charger is in front of the corporate office (the same building) on 2375 Kuhio Ave.,Oahu,150 Kaiulani Avenue,Honolulu,HI,96815,21°16′40″.263 N,157°49′30″.169 S,"Shea Lamb, Manager",Free,"Guests $25.00 overnight. HI residents $12.00 overnight, $7.00 flat rate available on Mondays between 5am-12pm. First 3 hours for free with Dukes validation, 3$/half hour",Ohana Waikiki East,24/7,2,Restricted use to Guests.  Need FOB key to activate Charger in self-parking.,2,Free,AeroVironment,2,27 December 2012
31,1515CALIFORNIAAVENUE,256,903,Leilehua (State Property),"Front parking lot, center row",Oahu,1515 California Avenue,Wahiawa,HI,96786,21°30′01″.656 N,158°00′43″.668 S,DOE,Free,Free,,,1,None,1,Free,Manufacturer/Network Unknown,2,12 December 2017
32,151KAIULANISTREET,39,363,"Enterprise Rent-a-Car, Waikiki",The charging station is located is in the back of the lot.,Oahu,151 Kaiulani St.,Honolulu,HI,96815,21°16′37″.979 N,157°49′29″.022 S,,$2/hour or any fraction thereof,Free,"Enterprise Rent-a-Car, Waikiki",7:00am-8:00pm,2,"Restricted to customers, when available.  Priority given to fleet vehicles.  4 hour limit on EV charging. The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.",1,Paid,OpConnect,2,27 December 2012
33,151KAPAHULUAVENUE,92,485,Honolulu Zoo Parking Lot (Currently DOWN),Entrance to parking lot is on Kapahulu.  Follow blue signs to Charger.,Oahu,151 Kapahulu Avenue,Honolulu,HI,96815,21°16′17″.897 N,157°49′16″.980 S,Allyn Lee,Free,Free for EV Drivers,Honolulu Zoo Parking Lot,6:00am-12:00am,1,Activate Charger with ChargePoint Network card or call the number listed on the front of the Charger for access.,1,Free,ChargePoint,2,27 December 2012
34,1525BERNICESTREET,32,347,Bishop Museum,The chargers are located in the rear parking area,Oahu,1525 Bernice St.,Honolulu,HI,96817,21°19′59″.404 N,157°52′09″.600 S,,$2/hour or any fraction thereof,Free,Bishop Museum,Wed-Mon 9:00am-5:00pm,4,"4 hour limit.  The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.  Parking fees may apply.",2,Paid,OpConnect,2,27 December 2012
35,155NORTHBERETANIASTREET,96,493,Hale Pauahi Parking Structure,The entrance is on Beretania Street.  Follow blue signs to Charger.,Oahu,155 N Beretania St.,Honolulu,HI,96817,21°18′48″.893 N,157°51′42″.078 S,Allyn Lee,Free,Free for EV Drivers,Hale Pauahi Parking Structure,6:00am-12:00am,1,Activate with a ChargePoint Network card or call the number listed on the front of the charging station for access.,1,Free,ChargePoint,2,27 December 2012
36,1571POIPUROAD,113,569,Grand Hyatt Kauai,The charging stations.are located in the corner of the guest parking closest to the hotel.,Kauai,1571 Poipu Rd.,Koloa,HI,96756,21°52′38″.583 N,159°26′24″.189 S,,Free,"$25/day for overnight guests, additional $10 for Valet.",,24/7,1,Ask valet to activate. AeroVironment: (888) 833-2148,1,Free,AeroVironment,3,09 April 2013
37,1600KAPIOLANIBOULEVARD,78,453,The Pan Am Building,"The charging station is located on the 2nd floor, up the ramp take 2 left turns",Oahu,1600 Kapiolani Boulevard,Honolulu,HI,96814,21°17′31″.513 N,157°50′20″.940 S,Julie Miyashiro,"1st 2 hours free, $5 every additional hour",parking fees may apply,The Pan Am Building,"Mon-Fri 6:00am-10:00pm, Sat 7:00am-5:00pm, Sun closed",1,"First 2 hours of charging are free, $5 every additional hour.  Use your smart phone to charge by credit card at the Charger, instructions on the screen.  Call 1-800 number to sign up for a card.",1,Free,SemaConnect,2,27 December 2012
38,160AHUISTREET,56,403,Kakaako Piano Lot Parking Facility,"The charging station is located next to Children’s Discovery Center, right off Ahui St. Ewa side of the lot",Oahu,160 Ahui Street,Honolulu,HI,96813,21°17′36″.412 N,157°51′38″.105 S,OHA,"$1/session, plus $1/hour","Free for EV Drivers while Charging.  $2/2 hours, 2-10 hours $3, All day is $5",Kakaako Piano Lot Parking Facility,24/7,1,"Charging fee is $1/session, plus $1/hour. Free parking for EV Drivers while Charging.  DRIVERS MUST MOVE THEIR EV OUT OF CHARGING STATION SPOT WHEN CHARGING IS COMPLETE.",1,Paid,Shorepower,2,27 December 2012
39,1670HONOAPIILANIHIGHWAY,124,595,Maui Tropical Plantation,"Upon entering the plantation, head straight ahead, the chargers are in the first 2 parking aisles on the left hand side.",Maui,1670 Honoapiilani Hwy,Wailuku,HI,96793,20°50′56″.364 N,156°30′23″.219 S,,Fees vary depending on the type of membership,Free,,9:00AM - 9:00PM,4,"To use this charger, drivers need to be a member of  EVOhana. Visit http://evohana.com  or email info@jumpsmartmaui.com or call 808-270-6802",4,Paid,Hitachi,3,21 November 2013
40,170KAAHUMANUAVENUE,24,319,Maui Beach Hotel,Ask Front Desk at Check In,Maui,170 Kaahumanu Avenue,Kahului,HI,96732,20°53′24″.666 N,156°28′15″.812 S,,Free,Free,Maui Beach Hotel,24/7,1,Restricted to Hotel Guests.,1,Free,Bring your own cordset/Level 1 Charger,1,27 December 2012
41,1801KALAKAUAAVENUE,42,369,Hawaii Convention Center,"The charging station is located In parking structure, Aisle B next to pedestrian walkway",Oahu,1801 Kalakaua Ave,Honolulu,HI,96815,21°17′23″.330 N,157°50′09″.312 S,,$2.00/hour,$10,Hawaii Convention Center,Varies by event.,1,Charging fee is $2/hour.,1,Paid,Volta,2,27 December 2012
42,1881SOUTHKIHEIROAD,22,313,Kihei Town Center,"The charging station is located In front of “Happy Nails” between Sansei and Cuatro Restaurants, near Police Station & Rainbow Attic at 24/7 Kihei Foodland",Maui,1881 S Kihei Rd,Kihei,HI,96753,20°43′55″.950 N,156°27′08″.862 S,"Rob, Activity Concierge",$2/hour or any fraction thereof,Free,Kihei Town Center,24/7,2,"The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.",1,Paid,OpConnect,2,27 December 2012
43,192MAALAEAROAD,134,619,Ma`alaea Triangle (Maui Ocean Center),Enter on Kapoli Street (Next to the Maui Golf and Sports Park). Head towards the Maui Ocean Center and the chargers will be on the right hand side next to the wall.,Maui,192 Maalaea Rd,Wailuku,HI,96793,20°47′33″.075 N,156°30′44″.301 S,,Fees vary depending on the type of membership,Free,,5:00 AM - 9:00 PM,4,"To use this charger, drivers need to be a member of  EVOhana. Visit http://evohana.com  or email info@jumpsmartmaui.com or call 808-270-6802",1,Paid,Hitachi,3,31 March 2014
44,1956ALAMOANABOULEVARD,36,355,Double Tree by Hilton Alana Waikiki Hotel,The charging stations are located in valet,Oahu,1956 Ala Moana Blvd,Honolulu,HI,96815,21°17′08″.728 N,157°50′02″.596 S,"Green Car, Justin",Flat $5/Session,Subject to Valet Rates,Double Tree by Hilton Alana Waikiki Hotel,24/7,2,Charge fee is a flat $5/session.  Green Car rents out electric and hybrid vehicles from the hotel.  Registered Guests with EVs can also charge.  Must Valet to charge EV.,2,Paid,Blink,2,27 December 2012
45,1NORTHKANIKUDRIVE,109,553,Fairmont Orchid,"Guest parking lot, right side.",Hawaii,1 N Kaniku Dr,Kamuela,HI,96743,19°57′04″.334 N,155°51′37″.047 S,,Free,Free,,24/7,2,Parking fees may apply.,2,Free,AeroVironment,2,20 March 2013
46,1RITZCARLTONDRIVE,26,325,Ritz Carlton Kapaalua(Currently Not on Service),"Outdoor parking lot close to emplloyee entrance.  EV station labeled, where buses and large vehicles park",Maui,1 Ritz-Carlton Drive,Kapalua,HI,96761,20°59′59″.375 N,156°39′18″.551 S,General Manager,"Free until further notice,  fee amount TBD","Free for Day Guests.  $10/Night Self-Park, $18/Night Valet for Registered Guests",Ritz Carlton Kapaalua,24/7,2,,2,Free,Pep Stations,2,27 December 2012
47,2003KALIAROAD,45,375,Hilton Hawaiian Village,The charging stations.are located on the 2nd floor of the parking garage across from Kalia Tower,Oahu,2003 Kalia Rd.,Honolulu,HI,96814,21°17′01″.197 N,157°50′16″.005 S,"Dara Young, Public relations",$2/hour or any fraction thereof,,Hilton Hawaiian Village,24/7,4,"The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.",2,Paid,OpConnect,2,27 December 2012
48,200NOHEAKAIDRIVE,19,307,Hyatt Regency Maui,"In the Lahaina parking area, take a left turn towards back area, EV station will be directly on your right",Maui,200 Nohea Kai Drive,Lahaina,HI,96761,20°54′45″.612 N,156°41′31″.923 S,"Mike Pentergas, Engineering",Paid,"Free for Restaurant Guests with validation.  $14/Day for Self-Parking, $5/Valet",Hyatt Regency Maui,24/7,2,$3.50/hour. 4 hour limit.  Pay with Credit Card at charging station.,1,Paid,ChargePoint,2,27 December 2012
49,200SOUTHHIGHSTREET,114,571,"Maui County Building, Wailuku","The chargers are located directly in front of County Building, outdoor lot. The space is painted green and there is a sign.",Maui,200 South High Street,Wailuku,HI,96793,20°53′07″.152 N,156°30′14″.562 S,,Fees vary depending on the type of membership,Free,,24/7,1,"To use this charger, drivers need to be a member of  EVOhana. Visit http://evohana.com  or email info@jumpsmartmaui.com or call 808-270-6802",1,Paid,Hitachi,2,09 April 2013
50,200WESTKAWILISTREET,4,263,University of Hawaii at Hilo,"The charging station is located at the life science building, 3344",Hawaii,200 W. Kawili Street,Hilo,HI,96720,19°42′04″.572 N,155°04′45″.300 S,Colinn Kettleson Auxilary Services,Free,Free for EV Drivers while Charging.,University of Hawaii at Hilo,24/7,1,,1,Free,Legrand,2,27 December 2012
51,201BEACHWALKSTREET,37,357,Embassy Suites Waikiki,The charging stations are located in the valet on Lewers Street,Oahu,201 Beach Walk Street,Honolulu,HI,96815,21°16′44″.821 N,157°49′54″.306 S,"Front Desk, Sunny",Free,"$6.00/4 hours with restaurant validation, $3.00/half hour thereafter.  $30/day for overnight guests (in/out parking).",Embassy Suites Waikiki,24/7,2,,2,Free,AeroVironment,2,27 December 2012
52,201MERCHANTSTREETSUITE2220,177,721,City Financial Tower,City Financial Tower,Oahu,"201 Merchant Street, Suite 2220",Honolulu,HI,96813,21°18′25″.884 N,157°51′41″.112 S,,$0.00-$3.00/Hr,,,not specified,4,,4,Paid,SemaConnect,2,27 October 2015
53,2058KUHIOAVENUE,131,611,Maile Sky Court,The charging station is located in the parking garage (4th floor),Oahu,2058 Kuhio Ave,Honolulu,HI,96815,21°17′02″.256 N,157°49′51″.348 S,,"$18/day, $2/hour or any fraction thereof",,,Business Hours,2,"The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.",1,Paid,OpConnect,2,28 March 2014
54,210WESTKAMEHAMEHAAVENUE,166,687,Maui Electric Company Ltd.,"In front of Maui Electric, Kahului Office",Maui,210 W Kamehameha Avenue,Kahului,HI,96733,20°53′04″.668 N,156°28′19″.668 S,,"Mid day (9am-5pm) = $0.49/kWh, On-Peak (5pm-10pm) = $0.62/kWh, Off-Peak (10pm-9am) = $0.60/kWh",,,24/7,1,Major Credit Cards or Greenlots Network,1,Paid,ABB,3,01 April 2015
55,2155KALAKAUAAVENUE,227,827,Bank of Hawaii,Parking Lot,Oahu,2155 Kalakaua Ave.,Honolulu,HI,96815,21°16′49″.404 N,157°49′49″.584 S,,Free,Free for customers,,-,1,standard daily rate is $3.00/hr,1,Free,SemaConnect,2,02 August 2016
56,2169KALIAROAD,71,437,Outrigger Reef,"The charging stations are located at self-parking in garage outside valet, basement level",Oahu,2169 Kalia Road,Honolulu,HI,96815,21°16′43″.310 N,157°49′57″.215 S,"Manny, engineer & Dave Lee, VP Property services",Free,"$25.00 overnight, $10.00 HI residents, but rate will go up on 12/22/2012 (TBA)",Outrigger Reef,24/7,1,,1,Free,AeroVironment,2,27 December 2012
57,220SOUTHKINGSTREET,33,349,Central Pacific Plaza,The chargers are located on 2nd Floor of parking garage,Oahu,220 S. King St,Honolulu,HI,96813,21°18′28″.123 N,157°51′37″.972 S,"Kalani Maika, Senior Property Manager",$2/hour or any fraction thereof,,Central Pacific Plaza,"Mon-Fri 7:00am-7:00pm, Sat 7:00am-3:00pm, Sun closed",4,"The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.  Parking fees may apply.",2,Paid,OpConnect,2,27 December 2012
58,2211KUHIOAVENUE,69,433,Ohana Waikiki Malia,"The charging stations are located on the 2nd level, at entrance",Oahu,2211 Kuhio Avenue,Honolulu,HI,96815,21°16′51″.517 N,157°49′41″.725 S,manager,Free,"Guests $25.00 overnight, HI residents $10.00. 1hour free with validation from Ihop or Rivals bar with a purchase of $20.00 or more. 3$/half hour.",Ohana Waikiki Malia,24/7,2,See attendant for FOB key to activate charger.,2,Free,AeroVironment,2,27 December 2012
59,221MAHALANISTREET,25,323,Maui Memorial Medical Center,The charging stations are located in the two designated EV parking spaces in the far left of the handicapped parking in the row in front of the ER entrance (facing west Maui mountains).,Maui,221 Mahalani Street,Wailuku,HI,96793,20°53′05″.449 N,156°29′22″.023 S,,$15/session,Free,Maui Memorial Medical Center,24/7,2,Charging fee is a flat $15/session.  4 hour limit.,2,Paid,AeroVironment,2,27 December 2012
60,2233HELUMOAROAD,86,473,Waikiki Parc Hotel & Halekulani Hotel,The charging stations are located on the 2nd floor.  Drive up the ramp after you pass the parking booth.,Oahu,2233 Helumoa Rd,Honolulu,HI,96815,21°16′41″.900 N,157°49′50″.551 S,Michael Okimoto Front Office Manager,Free,Day visitors $3/20 minutes.  Overnight guest packages include parking. $20/day without package. $35/day for valet services.,Waikiki Parc Hotel & Halekulani Hotel,24/7,2,The two hotels share this parking lot.  Green Car rents out electric and hybrid vehicles from the hotel.  Registered Guests with EVs can also charge.,2,Free,Volta,2,27 December 2012
61,2249POIPUROAD,107,547,Marriott's Waiohai Beach Club,First 3 stalls as you enter parking garage,Kauai,2249 Poipu Rd,Koloa,HI,96756,21°52′30″.216 N,159°27′24″.364 S,Al Hoffman,Free,Free,,24/7,3,Parking fees may apply.  Restricted to registered guests and their visitors.  Parking garage requires key card,3,Free,AeroVironment,2,20 March 2013
62,2255KALAKAUAAVENUE,76,449,Sheraton Waikiki,The charging stations are located on the 3rd floor parking garage.,Oahu,2255 Kalakaua Ave,Honolulu,HI,96815,21°16′41″.158 N,157°49′47″.385 S,Front Desk,$2/hour or any fraction thereof,,Sheraton Waikiki,24/7,6,"4 hour limit on charging.  The OpConnect charging stations accept debit cards, credit cards, the Wright Express Fleet Fueling card, and the OpConnect card.",3,Paid,OpConnect,2,27 December 2012
63,2255KUHIOAVENUE,88,477,Waikiki Trade Center,The charging stations are located on the 6th floor,Oahu,2255 Kuhio Avenue,Honolulu,HI,96815,21°16′47″.049 N,157°49′36″.372 S,,Free,"$4.00/half hour, $6.00 Early-bird special (6am-9am, $11.00 regular flat rate (5pm), Validations offered within the building",Waikiki Trade Center,24/7,2,See Parking Management Office for FOB key to activate the charging station.,2,Free,AeroVironment,2,27 December 2012
64,225PIIKEAAVENUE,133,617,Pi`ilani Village Shopping Center,"Upon entering the shopping center, veer left and the charging station will be located on the right hand side, across from Minit Stop",Maui,225 Piikea Ave,Kihei,HI,96753,20°45′03″.492 N,156°26′56″.940 S,Lory,Fees vary depending on the type of membership,Free,,24/7,4,"To use this charger, drivers need to be a member of  EVOhana. Visit http://evohana.com  or email info@jumpsmartmaui.com or call 808-270-6802",1,Paid,Hitachi,3,31 March 2014
