,Cmn_Address,EV_Unnamed: 0,EV_Station ID,EV_Station name,EV_Location,EV_Island,EV_Address,EV_City,EV_State,EV_Zip Code,EV_Latitude,EV_Longitude,EV_Contact Name,EV_Charge Fee,EV_Park Fee,EV_Parking Lot,EV_Hours,EV_Ports,EV_Restrictions,EV_Number of Stations,EV_Charge Fees,EV_Manufacturers,EV_Charging Levels,EV_Date Initially Added,CH_Unnamed: 0,CH_Station Name,CH_Org Name,CH_Address 1,CH_City,CH_State,CH_Postal Code,CH_County,CH_Country,CH_No. of Ports,CH_Station Activation Type,CH_Customer Category
17,650SOUTHKINGSTREET,91.0,483.0,Fasi Civic Center Parking Structure,Public parking entrance is on Alapai Street and S. Beretania Street. Follow blue signs to the charging station.,Oahu,650 S. King Street,Honolulu,HI,96813.0,21°18′14″.774 N,157°51′18″.176 S,Allyn Lee,Free,Free for EV Drivers,Fasi Civic Center Parking Structure,6:00am-12:00am,1.0,Activate with the ChargePoint Network card or call the number listed on the front of the charging station for access.,1.0,Free,ChargePoint,2.0,27 December 2012,103.0,C&C HONOLULU / MOTOR POOL,City & County of Honolulu,650 S King St,Honolulu,Hawaii,96813.0,Honolulu County,United States,1.0,Public,Municipal
19,745455MAKALABOULEVARD,160.0,675.0,Target- Hawaii-Kona,Charging Station is near the exit doors in the middle across from the handicap stalls,Hawaii,74-5455 Makala Blvd,Kailua Kona,HI,96740.0,19°38′52″.080 N,156°00′09″.972 S,,"free for first 2 hours, $2/hr after initial 2hrs",Free,,6am-11pm,2.0,Need to download ChargePoint App or have Membership card to activate charge session,1.0,Free,ChargePoint,2.0,01 April 2015,16.0,TARGET CORP / KONA T2412,Target Corporation,74-5455 Makala Blvd,Kailua-Kona,Hawaii,96740.0,Hawaii County,United States,2.0,Public,Retail
20,745533LOLOKUSTREET,144.0,643.0,BMW of Kona,Charger is in the outside parking lot,Hawaii,74-5533 Loloku Street,Kailua Kona,HI,96740.0,19°38′38″.580 N,156°00′09″.828 S,,Free,Free,,24/7,2.0,,1.0,Free,ChargePoint,2.0,17 December 2014,111.0,BMW OF HAWAII / KONA 01,BMW of Hawaii,74-5533 Loloku St,Kailua-Kona,Hawaii,96740.0,Hawaii County,United States,1.0,Public,Retail
21,777WARDAVENUE,93.0,487.0,Neal Blaisdell Center Parking Structure,Enter S. King Street/Victoria street.  Follow blue signs to Charger.,Oahu,777 Ward Avenue,Honolulu,HI,96814.0,21°17′57″.962 N,157°51′01″.360 S,Allyn Lee,Free,Free for EV Drivers,Neal Blaisdell Center Parking Structure,6:00am-12:00am,1.0,Activate charger with ChargePoint Network card or call the number listed on the front of the charger for access.,1.0,Free,ChargePoint,2.0,27 December 2012,102.0,C&C HONOLULU / NBC,City & County of Honolulu,777 Ward Ave,Honolulu,Hawaii,96814.0,Honolulu County,United States,1.0,Public,Workplace
22,801SOUTHSTREET,203.0,777.0,801 PHASE 1,The station is located in Visitor Parking,Oahu,801 South St,Honolulu,HI,96813.0,21°18′09″.720 N,157°51′23″.328 S,,Free,Free parking for the first 4 hours.,,24/7,2.0,,1.0,Free,ChargePoint,2.0,29 April 2016,143.0,801 PHASE 1 / BUILDING B,801 South Street HI,801 south st,Honolulu,Hawaii,96813.0,Honolulu County,United States,1.0,Public,Workplace
23,825KAPIOLANIBOULEVARD,194.0,755.0,BMW of Hawaii,At the dealership,Oahu,825 Kapiolani Blvd,Honolulu,HI,96813.0,21°17′58″.488 N,157°51′13″.428 S,,Free,Free,,24/7,2.0,,1.0,Free,ChargePoint,2.0,08 April 2016,112.0,BMW OF HAWAII / HONOLULU 01,BMW of Hawaii,825 Kapiolani Blvd,Honolulu,Hawaii,96813.0,Honolulu County,United States,2.0,Public,Retail
24,888SOUTHKINGSTREET,156.0,667.0,Straub Clinic & Hospital - Hawaii Pacific Health,2nd floor parking garage- first 2 stalls on the right when you turn on to the same level as the handicap stalls,Oahu,888 S King St,Honolulu,HI,96813.0,21°18′09″.288 N,157°51′01″.944 S,Dong,$2 an hr,,,24/7,2.0,,2.0,Paid,ChargePoint,2.0,31 March 2015,46.0,PARKING GARAGE / SMC 1,HPH Straub Medical Center,888 S King St,Honolulu,Hawaii,96813.0,Honolulu County,United States,2.0,Public,Healthcare
25,921185ALIINUIDRIVE,30.0,343.0,"Aulani A Disney Resort and Spa, Ko Olina",See Valet for Assistance,Oahu,92-1185 Aliinui Drive,Kapolei,HI,96707.0,21°20′22″.610 N,158°07′23″.754 S,Michael Lee,Free,,"Aulani A Disney Resort and Spa, Ko Olina",24/7,25.0,"To start a charge session download charge point app and follow directions, or call +1-888-758-4389. Free parking (4 hours max) with restaurant purchase of $35 or more.",9.0,Free,ChargePoint,2.0,27 December 2012,114.0,AULANI: DISNEY / P2 SPACE 218,Disney-Aulani,92-1185 Aliinui Drive,Kapolei,Hawaii,96707.0,Honolulu County,United States,1.0,Public,Hospitality
26,92149WAIPAHEPLACE,100.0,525.0,Marriott's Ko Olina Beach Club,"1 charging station each in Hale Moana Parking Tower, Hale Naia, and Hale Kona's ground floor valet services",Oahu,92-149 Waipahe Pl,Kapolei,HI,96707.0,21°19′52″.104 N,158°07′17″.551 S,Randy,Free,$15 valet parking for day guests,,24/7,6.0,Day guests go to valet services at Hale Kona Parking. $15 parking includes charge. Registered Guests can use charging stations in Hale Moana and Hale Naia parking. Will be issued a charge card to access charger,3.0,Free,ChargePoint,2.0,19 March 2013,63.0,KO'OLINA BC / NAIA,Marriott Ko,92-149 Waipahe Pl,Kapolei,Hawaii,96707.0,Honolulu County,United States,2.0,Public,Hospitality
27,981079MOANALUAROAD,154.0,663.0,Pali Momi Medical Center - Hawaii Pacific Health,Charging stations located P1 level visitor parking,Oahu,98-1079 Moanalua Rd,Aiea,HI,96701.0,21°22′59″.808 N,157°56′18″.960 S,Jessica,Paid,Paid,,24/7,2.0,,2.0,Paid,ChargePoint,2.0,31 March 2015,47.0,PALI MOMI / PMMC STATION #2,HPH Pali Momi Medical Center,98-1079 Moanalua Rd,Aiea,Hawaii,96701.0,Honolulu County,United States,2.0,Public,Healthcare
28,WAHINEPIOAVENUE,137.0,627.0,University of Hawai‘i Maui College,Parking lot at Kaaike building under PV Array.,Maui,Wahinepio Ave,Kahului,HI,96732.0,20°53′32″.568 N,156°28′50″.772 S,,Free,Free,,7 am to 9 pm,8.0,"Chargers on a first come first serve basis.ChargePoint Chargers require a ChargePoint Card and/or ChargePoint App .Charging time limited to 4 hours or full charge, which ever comes first.",4.0,Free,ChargePoint,2.0,01 July 2014,9.0,UH MAUI COLLEGE / KAAIKE 4,UH Maui College,Wahinepio Ave,Kahului,Hawaii,96732.0,Maui County,United States,2.0,Public,Education
